Item name,Mod name,Cost,Total Emerald,Chance
Auto Mechanic Table,Automobility,1 x Emerald,1,0.85%
Automobile Assembler,Automobility,1 x Emerald,1,0.85%
Crowbar,Automobility,1 x Emerald,1,0.85%
Bamboo Chimes,Chimes,1 x Emerald,1,0.85%
Lightroom,Exposure,1 x Emerald,1,0.85%
Tom'sInventory Cable,Toms Storage,1 x Emerald,1,0.85%
Slope,Automobility,2 x Emerald,2,0.51%
Copper Chimes,Chimes,2 x Emerald,2,0.51%
Painting,Immersive Paintings,2 x Emerald,2,0.51%
Cannon Ball,Smallships,2 x Emerald,2,0.51%
Straw Statue,Strawstatues,2 x Emerald,2,0.51%
Tom'sInventory Cable Framed,Toms Storage,2 x Emerald,2,0.51%
Tom'sOpen Crate,Toms Storage,2 x Emerald,2,0.51%
Tom'sTrim,Toms Storage,2 x Emerald,2,0.51%
Stone Wand,Wands,2 x Emerald,2,0.51%
Music Sheet,Xercamusic,2 x Emerald,2,0.51%
Steep Slope,Automobility,3 x Emerald,3,0.24%
Iron Chimes,Chimes,3 x Emerald,3,0.24%
Graffiti,Immersive Paintings,3 x Emerald,3,0.24%
Aqueous Sponge,Permanentsponges,3 x Emerald,3,0.24%
Banjo,Xercamusic,3 x Emerald,3,0.24%
Bass Guitar,Xercamusic,3 x Emerald,3,0.24%
Cello,Xercamusic,3 x Emerald,3,0.24%
Cymbal,Xercamusic,3 x Emerald,3,0.24%
Drum,Xercamusic,3 x Emerald,3,0.24%
Flute,Xercamusic,3 x Emerald,3,0.24%
French Horn,Xercamusic,3 x Emerald,3,0.24%
Guitar,Xercamusic,3 x Emerald,3,0.24%
Lyre,Xercamusic,3 x Emerald,3,0.24%
Oboe,Xercamusic,3 x Emerald,3,0.24%
Piano,Xercamusic,3 x Emerald,3,0.24%
Redstone Guitar,Xercamusic,3 x Emerald,3,0.24%
Sansula,Xercamusic,3 x Emerald,3,0.24%
Saxophone,Xercamusic,3 x Emerald,3,0.24%
Tubular Bell,Xercamusic,3 x Emerald,3,0.24%
Violin,Xercamusic,3 x Emerald,3,0.24%
Xylophone,Xercamusic,3 x Emerald,3,0.24%
Compact Chest White,Compact Storage,4 x Emerald,4,0.85%
Copper Weather Vane,Convenientdecor,4 x Emerald,4,0.85%
Umbrella Stand,Convenientdecor,4 x Emerald,4,0.85%
Watering Can,Convenientdecor,4 x Emerald,4,0.85%
Glow Painting,Immersive Paintings,4 x Emerald,4,0.85%
Iron Wand,Wands,4 x Emerald,4,0.85%
Amethyst Chimes,Chimes,5 x Emerald,5,0.24%
Black Umbrella,Convenientdecor,5 x Emerald,5,0.24%
Blue Umbrella,Convenientdecor,5 x Emerald,5,0.24%
Brown Umbrella,Convenientdecor,5 x Emerald,5,0.24%
Cyan Umbrella,Convenientdecor,5 x Emerald,5,0.24%
Gold Weather Vane,Convenientdecor,5 x Emerald,5,0.24%
Gray Umbrella,Convenientdecor,5 x Emerald,5,0.24%
Green Umbrella,Convenientdecor,5 x Emerald,5,0.24%
Iron Weather Vane,Convenientdecor,5 x Emerald,5,0.24%
Light Blue Umbrella,Convenientdecor,5 x Emerald,5,0.24%
Light Gray Umbrella,Convenientdecor,5 x Emerald,5,0.24%
Lime Umbrella,Convenientdecor,5 x Emerald,5,0.24%
Magenta Umbrella,Convenientdecor,5 x Emerald,5,0.24%
Orange Umbrella,Convenientdecor,5 x Emerald,5,0.24%
Pink Umbrella,Convenientdecor,5 x Emerald,5,0.24%
Purple Umbrella,Convenientdecor,5 x Emerald,5,0.24%
Red Umbrella,Convenientdecor,5 x Emerald,5,0.24%
White Umbrella,Convenientdecor,5 x Emerald,5,0.24%
Yellow Umbrella,Convenientdecor,5 x Emerald,5,0.24%
Glow Graffiti,Immersive Paintings,5 x Emerald,5,0.24%
Magmatic Sponge,Permanentsponges,5 x Emerald,5,0.24%
Dash Panel,Automobility,6 x Emerald,6,0.63%
Andesite Casing,Create,6 x Emerald,6,0.63%
Brass Casing,Create,6 x Emerald,6,0.63%
Copper Casing,Create,6 x Emerald,6,0.63%
Super Glue,Create,6 x Emerald,6,0.63%
Camera,Exposure,6 x Emerald,6,0.63%
Sturdy Pipes,Immersive Aircraft,6 x Emerald,6,0.63%
Drum Kit,Xercamusic,6 x Emerald,6,0.63%
Arrival,Bcgmusic,7 x Emerald,7,0.51%
Beginning Of Infinity,Bcgmusic,7 x Emerald,7,0.51%
Blessings,Bcgmusic,7 x Emerald,7,0.51%
Departure,Bcgmusic,7 x Emerald,7,0.51%
Joe Theme,Bcgmusic,7 x Emerald,7,0.51%
Planes In Space,Bcgmusic,7 x Emerald,7,0.51%
Voyagers,Bcgmusic,7 x Emerald,7,0.51%
Waltz For The Lilies,Bcgmusic,7 x Emerald,7,0.51%
Compact Barrel White,Compact Storage,7 x Emerald,7,0.51%
Industrial Gears,Immersive Aircraft,7 x Emerald,7,0.51%
Upgrade Column,Compact Storage,8 x Emerald,8,1.27%
Upgrade Row,Compact Storage,8 x Emerald,8,1.27%
Black And White Film,Exposure,8 x Emerald,8,1.27%
Improved Landing Gear,Immersive Aircraft,8 x Emerald,8,1.27%
Tom'sPaint Kit,Toms Storage,9 x Emerald,9,2.54%
Tom'sWireless Terminal,Toms Storage,9 x Emerald,9,2.54%
Electron Tube,Create,10 x Emerald,10,1.27%
Precision Mechanism,Create,10 x Emerald,10,1.27%
Color Film,Exposure,10 x Emerald,10,1.27%
Sail,Smallships,10 x Emerald,10,1.27%
Allay Plush,A Man With Plushies,11 x Emerald,11,0.20%
Bendy Plush,A Man With Plushies,11 x Emerald,11,0.20%
Boyfriend Plush,A Man With Plushies,11 x Emerald,11,0.20%
Creeper Plush,A Man With Plushies,11 x Emerald,11,0.20%
Crewmate Plush,A Man With Plushies,11 x Emerald,11,0.20%
Enderman Plush,A Man With Plushies,11 x Emerald,11,0.20%
Fall Guy Plush,A Man With Plushies,11 x Emerald,11,0.20%
Gd Cube Plush,A Man With Plushies,11 x Emerald,11,0.20%
Henry Stickmin Plush,A Man With Plushies,11 x Emerald,11,0.20%
Isaac Plush,A Man With Plushies,11 x Emerald,11,0.20%
Junimo Plush,A Man With Plushies,11 x Emerald,11,0.20%
Lariat Plushie,A Man With Plushies,11 x Emerald,11,0.20%
Meat Boy Plush,A Man With Plushies,11 x Emerald,11,0.20%
Ninji Plush,A Man With Plushies,11 x Emerald,11,0.20%
Off Plush,A Man With Plushies,11 x Emerald,11,0.20%
Omori Plush,A Man With Plushies,11 x Emerald,11,0.20%
Peashooter Plush,A Man With Plushies,11 x Emerald,11,0.20%
Pufferfish Plush,A Man With Plushies,11 x Emerald,11,0.20%
Red Pikmin Plush,A Man With Plushies,11 x Emerald,11,0.20%
Red Spycrab Plush,A Man With Plushies,11 x Emerald,11,0.20%
Sackboy Plush,A Man With Plushies,11 x Emerald,11,0.20%
Shulker Plush,A Man With Plushies,11 x Emerald,11,0.20%
Squid Plush,A Man With Plushies,11 x Emerald,11,0.20%
Steve Plush,A Man With Plushies,11 x Emerald,11,0.20%
Wilson Plush,A Man With Plushies,11 x Emerald,11,0.20%
Cinnamon Sapling,Expandeddelight,12 x Emerald,12,0.51%
Acacia Sapling,Minecraft,12 x Emerald,12,0.51%
Birch Sapling,Minecraft,12 x Emerald,12,0.51%
Cherry Sapling,Minecraft,12 x Emerald,12,0.51%
Dark Oak Sapling,Minecraft,12 x Emerald,12,0.51%
Jungle Sapling,Minecraft,12 x Emerald,12,0.51%
Oak Sapling,Minecraft,12 x Emerald,12,0.51%
Spruce Sapling,Minecraft,12 x Emerald,12,0.51%
Apple Tree Sapling,Vinery,12 x Emerald,12,0.51%
Dark Cherry Sapling,Vinery,12 x Emerald,12,0.51%
Baldi Plush,A Man With Plushies,13 x Emerald,13,0.21%
Blissey Plush,A Man With Plushies,13 x Emerald,13,0.21%
Cc Green Knight Plush,A Man With Plushies,13 x Emerald,13,0.21%
Chicken Plush,A Man With Plushies,13 x Emerald,13,0.21%
Cow Plush,A Man With Plushies,13 x Emerald,13,0.21%
Cuphead Plush,A Man With Plushies,13 x Emerald,13,0.21%
Employee Orange Suit Plush,A Man With Plushies,13 x Emerald,13,0.21%
Female Indeedee Plush,A Man With Plushies,13 x Emerald,13,0.21%
Goose Plush,A Man With Plushies,13 x Emerald,13,0.21%
Happycane Plush,A Man With Plushies,13 x Emerald,13,0.21%
Hat Kid Plush,A Man With Plushies,13 x Emerald,13,0.21%
Insomni Plush,A Man With Plushies,13 x Emerald,13,0.21%
Madeline Plush,A Man With Plushies,13 x Emerald,13,0.21%
Peppino Plush,A Man With Plushies,13 x Emerald,13,0.21%
Pig Plush,A Man With Plushies,13 x Emerald,13,0.21%
Rambley Plush,A Man With Plushies,13 x Emerald,13,0.21%
Rhyth Plush,A Man With Plushies,13 x Emerald,13,0.21%
Sans Plush,A Man With Plushies,13 x Emerald,13,0.21%
Sensei Seaweed Plush,A Man With Plushies,13 x Emerald,13,0.21%
Steppa Plush,A Man With Plushies,13 x Emerald,13,0.21%
The Knight Plush,A Man With Plushies,13 x Emerald,13,0.21%
Ultimate Chicken Plush,A Man With Plushies,13 x Emerald,13,0.21%
White Sheep Plush,A Man With Plushies,13 x Emerald,13,0.21%
Wiglin Plush,A Man With Plushies,13 x Emerald,13,0.21%
Hull Reinforcement,Immersive Aircraft,14 x Emerald,14,0.08%
Acornhat,Simplehats,14 x Emerald,14,0.08%
Bandana,Simplehats,14 x Emerald,14,0.08%
Baseballhat,Simplehats,14 x Emerald,14,0.08%
Beanie,Simplehats,14 x Emerald,14,0.08%
Bicorne,Simplehats,14 x Emerald,14,0.08%
Bigbrain,Simplehats,14 x Emerald,14,0.08%
Bigeyes,Simplehats,14 x Emerald,14,0.08%
Bowler,Simplehats,14 x Emerald,14,0.08%
Bucket,Simplehats,14 x Emerald,14,0.08%
Burgerhat,Simplehats,14 x Emerald,14,0.08%
Caddycap,Simplehats,14 x Emerald,14,0.08%
Cartoonegg,Simplehats,14 x Emerald,14,0.08%
Chalk Stick,Simplehats,14 x Emerald,14,0.08%
Cheeseslice,Simplehats,14 x Emerald,14,0.08%
Chefshat,Simplehats,14 x Emerald,14,0.08%
Chickenhead,Simplehats,14 x Emerald,14,0.08%
Circular Glasses,Simplehats,14 x Emerald,14,0.08%
Cowboy,Simplehats,14 x Emerald,14,0.08%
Crown,Simplehats,14 x Emerald,14,0.08%
Cucumbereyemask,Simplehats,14 x Emerald,14,0.08%
Cyclopseye,Simplehats,14 x Emerald,14,0.08%
Dairyqueen,Simplehats,14 x Emerald,14,0.08%
Dangereqsue,Simplehats,14 x Emerald,14,0.08%
Doubletake,Simplehats,14 x Emerald,14,0.08%
Elfhat,Simplehats,14 x Emerald,14,0.08%
Explorerhat,Simplehats,14 x Emerald,14,0.08%
Eyepatch,Simplehats,14 x Emerald,14,0.08%
Fez,Simplehats,14 x Emerald,14,0.08%
Fro,Simplehats,14 x Emerald,14,0.08%
Goggles,Simplehats,14 x Emerald,14,0.08%
Grandmadisguise,Simplehats,14 x Emerald,14,0.08%
Halo,Simplehats,14 x Emerald,14,0.08%
Headshot,Simplehats,14 x Emerald,14,0.08%
Horsemask,Simplehats,14 x Emerald,14,0.08%
Largehorns,Simplehats,14 x Emerald,14,0.08%
Lilbow,Simplehats,14 x Emerald,14,0.08%
Mohawk,Simplehats,14 x Emerald,14,0.08%
Nekoears,Simplehats,14 x Emerald,14,0.08%
Paperbag,Simplehats,14 x Emerald,14,0.08%
Partyhat,Simplehats,14 x Emerald,14,0.08%
Pighead,Simplehats,14 x Emerald,14,0.08%
Pog,Simplehats,14 x Emerald,14,0.08%
Policebucket,Simplehats,14 x Emerald,14,0.08%
Pom Moog,Simplehats,14 x Emerald,14,0.08%
Poofballhat,Simplehats,14 x Emerald,14,0.08%
Popehat,Simplehats,14 x Emerald,14,0.08%
Ranahat,Simplehats,14 x Emerald,14,0.08%
Rubbernipple,Simplehats,14 x Emerald,14,0.08%
Sausage,Simplehats,14 x Emerald,14,0.08%
Scouter,Simplehats,14 x Emerald,14,0.08%
Sheep,Simplehats,14 x Emerald,14,0.08%
Sleepeyemask,Simplehats,14 x Emerald,14,0.08%
Sombrero,Simplehats,14 x Emerald,14,0.08%
Sprout,Simplehats,14 x Emerald,14,0.08%
Summerhat,Simplehats,14 x Emerald,14,0.08%
Swimmer,Simplehats,14 x Emerald,14,0.08%
Tophat,Simplehats,14 x Emerald,14,0.08%
Triangleshades,Simplehats,14 x Emerald,14,0.08%
Tricorne,Simplehats,14 x Emerald,14,0.08%
Ushanka,Simplehats,14 x Emerald,14,0.08%
Villagernose,Simplehats,14 x Emerald,14,0.08%
Diamond Wand,Wands,14 x Emerald,14,0.08%
Magic Bag 1,Wands,14 x Emerald,14,0.08%
Animdude Plush,A Man With Plushies,15 x Emerald,15,0.21%
Audino Plush,A Man With Plushies,15 x Emerald,15,0.21%
Blue Royale King Plush,A Man With Plushies,15 x Emerald,15,0.21%
Candy Plush,A Man With Plushies,15 x Emerald,15,0.21%
Coil Head Plush,A Man With Plushies,15 x Emerald,15,0.21%
Companion Block Plushie,A Man With Plushies,15 x Emerald,15,0.21%
Crabster Plush,A Man With Plushies,15 x Emerald,15,0.21%
Eye Of Cthulhu Plush,A Man With Plushies,15 x Emerald,15,0.21%
Freddy Fazbear Plush,A Man With Plushies,15 x Emerald,15,0.21%
Ghast Plush,A Man With Plushies,15 x Emerald,15,0.21%
Glados Plush,A Man With Plushies,15 x Emerald,15,0.21%
Guff Plush,A Man With Plushies,15 x Emerald,15,0.21%
Headcrab Plush,A Man With Plushies,15 x Emerald,15,0.21%
Heavy Plush,A Man With Plushies,15 x Emerald,15,0.21%
Monika Plush,A Man With Plushies,15 x Emerald,15,0.21%
Popgoes Plush,A Man With Plushies,15 x Emerald,15,0.21%
Shovel Knight Plush,A Man With Plushies,15 x Emerald,15,0.21%
Spamton Plush,A Man With Plushies,15 x Emerald,15,0.21%
Sudowoodo Plush,A Man With Plushies,15 x Emerald,15,0.21%
The Lamb Red Cape Plush,A Man With Plushies,15 x Emerald,15,0.21%
V 1 Plush,A Man With Plushies,15 x Emerald,15,0.21%
Vault Boy Plush,A Man With Plushies,15 x Emerald,15,0.21%
Wheatley Plush,A Man With Plushies,15 x Emerald,15,0.21%
Wobblewok Plush,A Man With Plushies,15 x Emerald,15,0.21%
Oat Seeds,Bakery,16 x Emerald,16,0.11%
Strawberry Seeds,Bakery,16 x Emerald,16,0.11%
Barley Seeds,Brewery,16 x Emerald,16,0.11%
Corn Seeds,Brewery,16 x Emerald,16,0.11%
Hops Seeds,Brewery,16 x Emerald,16,0.11%
Lettuce Seeds,Candlelight,16 x Emerald,16,0.11%
Tomato Seeds,Candlelight,16 x Emerald,16,0.11%
Asparagus Seeds,Expandeddelight,16 x Emerald,16,0.11%
Chili Pepper Seeds,Expandeddelight,16 x Emerald,16,0.11%
Peanut,Expandeddelight,16 x Emerald,16,0.11%
Sweet Potato,Expandeddelight,16 x Emerald,16,0.11%
Cabbage Seeds,Farmersdelight,16 x Emerald,16,0.11%
Onion,Farmersdelight,16 x Emerald,16,0.11%
Tomato Seeds,Farmersdelight,16 x Emerald,16,0.11%
Coffee Beans,Herbalbrews,16 x Emerald,16,0.11%
Rooibos Leaf,Herbalbrews,16 x Emerald,16,0.11%
Tea Blossom,Herbalbrews,16 x Emerald,16,0.11%
Yerba Mate Leaf,Herbalbrews,16 x Emerald,16,0.11%
Beetroot Seeds,Minecraft,16 x Emerald,16,0.11%
Carrot,Minecraft,16 x Emerald,16,0.11%
Melon Seeds,Minecraft,16 x Emerald,16,0.11%
Potato,Minecraft,16 x Emerald,16,0.11%
Pumpkin Seeds,Minecraft,16 x Emerald,16,0.11%
Sweet Berries,Minecraft,16 x Emerald,16,0.11%
Torchflower Seeds,Minecraft,16 x Emerald,16,0.11%
Wheat Seeds,Minecraft,16 x Emerald,16,0.11%
Acacia Cog,Smallships,16 x Emerald,16,0.11%
Bamboo Cog,Smallships,16 x Emerald,16,0.11%
Birch Cog,Smallships,16 x Emerald,16,0.11%
Cherry Cog,Smallships,16 x Emerald,16,0.11%
Dark Oak Cog,Smallships,16 x Emerald,16,0.11%
Jungle Cog,Smallships,16 x Emerald,16,0.11%
Mangrove Cog,Smallships,16 x Emerald,16,0.11%
Oak Cog,Smallships,16 x Emerald,16,0.11%
Spruce Cog,Smallships,16 x Emerald,16,0.11%
Flax Seeds,Supplementaries,16 x Emerald,16,0.11%
Garlic,Ubesdelight,16 x Emerald,16,0.11%
Ginger,Ubesdelight,16 x Emerald,16,0.11%
Lemongrass Seeds,Ubesdelight,16 x Emerald,16,0.11%
Ube,Ubesdelight,16 x Emerald,16,0.11%
Jungle Grape Seeds Red,Vinery,16 x Emerald,16,0.11%
Jungle Grape Seeds White,Vinery,16 x Emerald,16,0.11%
Red Grape Seeds,Vinery,16 x Emerald,16,0.11%
Savanna Grape Seeds Red,Vinery,16 x Emerald,16,0.11%
Savanna Grape Seeds White,Vinery,16 x Emerald,16,0.11%
Taiga Grape Seeds Red,Vinery,16 x Emerald,16,0.11%
Taiga Grape Seeds White,Vinery,16 x Emerald,16,0.11%
White Grape Seeds,Vinery,16 x Emerald,16,0.11%
Black Apricorn Seed,Cobblemon,20 x Emerald,20,0.06%
Blue Apricorn Seed,Cobblemon,20 x Emerald,20,0.06%
Blue Mint Seeds,Cobblemon,20 x Emerald,20,0.06%
Cyan Mint Seeds,Cobblemon,20 x Emerald,20,0.06%
Green Apricorn Seed,Cobblemon,20 x Emerald,20,0.06%
Green Mint Seeds,Cobblemon,20 x Emerald,20,0.06%
Medicinal Leek,Cobblemon,20 x Emerald,20,0.06%
Pink Apricorn Seed,Cobblemon,20 x Emerald,20,0.06%
Pink Mint Seeds,Cobblemon,20 x Emerald,20,0.06%
Red Apricorn Seed,Cobblemon,20 x Emerald,20,0.06%
Red Mint Seeds,Cobblemon,20 x Emerald,20,0.06%
Revival Herb,Cobblemon,20 x Emerald,20,0.06%
Vivichoke Seeds,Cobblemon,20 x Emerald,20,0.06%
White Apricorn Seed,Cobblemon,20 x Emerald,20,0.06%
White Mint Seeds,Cobblemon,20 x Emerald,20,0.06%
Yellow Apricorn Seed,Cobblemon,20 x Emerald,20,0.06%
Angrymask,Simplehats,20 x Emerald,20,0.06%
Antlers,Simplehats,20 x Emerald,20,0.06%
Apple,Simplehats,20 x Emerald,20,0.06%
Baseballeaster,Simplehats,20 x Emerald,20,0.06%
Baseballhatjuly,Simplehats,20 x Emerald,20,0.06%
Beanieeaster,Simplehats,20 x Emerald,20,0.06%
Beaniefestive,Simplehats,20 x Emerald,20,0.06%
Beaniejuly,Simplehats,20 x Emerald,20,0.06%
Beaniespooky,Simplehats,20 x Emerald,20,0.06%
Beret Ribbon,Simplehats,20 x Emerald,20,0.06%
Bigcrown,Simplehats,20 x Emerald,20,0.06%
Bigribbon,Simplehats,20 x Emerald,20,0.06%
Bigstevehead,Simplehats,20 x Emerald,20,0.06%
Breadhat,Simplehats,20 x Emerald,20,0.06%
Camerabeard,Simplehats,20 x Emerald,20,0.06%
Candycane,Simplehats,20 x Emerald,20,0.06%
Carrotonstick,Simplehats,20 x Emerald,20,0.06%
Chickenonhead,Simplehats,20 x Emerald,20,0.06%
Cuphead,Simplehats,20 x Emerald,20,0.06%
Dangeresquejuly,Simplehats,20 x Emerald,20,0.06%
Dimmahat,Simplehats,20 x Emerald,20,0.06%
Disguise,Simplehats,20 x Emerald,20,0.06%
Doctorhat,Simplehats,20 x Emerald,20,0.06%
Dorkglassesandteeth,Simplehats,20 x Emerald,20,0.06%
Dragonhead,Simplehats,20 x Emerald,20,0.06%
Dragonskull,Simplehats,20 x Emerald,20,0.06%
Drinkinhat,Simplehats,20 x Emerald,20,0.06%
Dumhat,Simplehats,20 x Emerald,20,0.06%
Dwarfminerbeard,Simplehats,20 x Emerald,20,0.06%
Easterhead,Simplehats,20 x Emerald,20,0.06%
Farmerbrim,Simplehats,20 x Emerald,20,0.06%
